,ward,district,date_day,date_year,charge_1_type,race_WHITE HISPANIC,race_BLACK,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_AMER INDIAN / ALASKAN NATIVE,race_UNKNOWN / REFUSED
401,28,011,1,2021,F,0,1,0,0,0,0,0
402,6,006,1,2021,F,0,1,0,0,0,0,0
403,17,007,1,2021,F,0,1,0,0,0,0,0
404,8,006,1,2021,M,0,1,0,0,0,0,0
405,10,004,1,2021,M,0,1,0,0,0,0,0
406,9,005,1,2021,M,1,0,0,0,0,0,0
407,3,001,1,2021,M,0,1,0,0,0,0,0
408,37,011,1,2021,F,0,1,0,0,0,0,0
409,28,015,1,2021,M,0,1,0,0,0,0,0
410,28,011,1,2021,F,0,1,0,0,0,0,0
411,42,018,1,2021,F,1,0,0,0,0,0,0
412,5,003,1,2021,F,0,1,0,0,0,0,0
413,20,009,1,2021,M,0,1,0,0,0,0,0
414,28,011,1,2021,F,1,0,0,0,0,0,0
415,4,001,1,2021,M,0,1,0,0,0,0,0
416,29,015,1,2021,M,0,0,0,0,1,0,0
417,24,010,1,2021,F,0,1,0,0,0,0,0
418,17,008,1,2021,M,0,1,0,0,0,0,0
419,22,010,11,2022,M,1,0,0,0,0,0,0
420,25,012,1,2021,F,0,1,0,0,0,0,0
421,27,011,1,2021,F,0,1,0,0,0,0,0
422,20,009,1,2021,F,1,0,0,0,0,0,0
423,2,018,11,2022,F,0,1,0,0,0,0,0
424,17,006,1,2021,M,0,1,0,0,0,0,0
425,24,011,1,2021,F,0,1,0,0,0,0,0
426,21,022,1,2021,M,0,1,0,0,0,0,0
427,45,017,1,2021,F,0,0,0,1,0,0,0
428,23,008,17,2021,F,1,0,0,0,0,0,0
429,19,022,1,2021,F,0,1,0,0,0,0,0
430,28,011,1,2021,F,1,0,0,0,0,0,0
431,1,012,1,2021,M,0,0,0,1,0,0,0
432,13,008,17,2021,F,0,1,0,0,0,0,0
433,42,001,1,2021,M,0,1,0,0,0,0,0
434,42,018,11,2022,M,0,0,0,1,0,0,0
435,43,018,1,2021,F,0,1,0,0,0,0,0
436,27,011,1,2021,F,0,1,0,0,0,0,0
437,8,006,1,2021,M,0,1,0,0,0,0,0
438,9,005,1,2021,F,0,1,0,0,0,0,0
439,9,005,2,2021,F,0,1,0,0,0,0,0
440,24,011,17,2021,F,0,1,0,0,0,0,0
441,6,007,1,2021,F,0,1,0,0,0,0,0
442,6,006,1,2021,F,0,1,0,0,0,0,0
443,9,005,24,2021,F,0,1,0,0,0,0,0
444,24,010,1,2021,F,0,1,0,0,0,0,0
445,20,009,17,2021,O,0,1,0,0,0,0,0
446,28,011,24,2021,F,0,1,0,0,0,0,0
447,28,011,24,2021,F,0,1,0,0,0,0,0
448,28,015,24,2021,M,0,1,0,0,0,0,0
449,5,003,24,2021,F,0,1,0,0,0,0,0
450,37,015,24,2021,M,0,1,0,0,0,0,0
451,20,003,24,2021,F,0,1,0,0,0,0,0
452,36,025,11,2022,F,1,0,0,0,0,0,0
453,19,022,24,2021,F,0,1,0,0,0,0,0
454,42,001,24,2021,F,0,1,0,0,0,0,0
455,2,018,24,2021,M,1,0,0,0,0,0,0
456,4,001,24,2021,M,0,1,0,0,0,0,0
457,24,011,24,2021,M,0,1,0,0,0,0,0
458,27,011,24,2021,F,0,0,1,0,0,0,0
459,34,022,24,2021,M,0,1,0,0,0,0,0
460,42,018,11,2022,M,0,1,0,0,0,0,0
461,13,008,24,2021,F,0,0,0,1,0,0,0
462,20,002,11,2022,F,0,1,0,0,0,0,0
463,42,001,24,2021,M,1,0,0,0,0,0,0
464,28,012,11,2022,M,1,0,0,0,0,0,0
465,27,011,24,2021,F,1,0,0,0,0,0,0
466,45,017,24,2021,O,1,0,0,0,0,0,0
467,32,014,24,2021,M,1,0,0,0,0,0,0
468,27,011,24,2021,F,0,1,0,0,0,0,0
469,42,001,2,2021,M,0,1,0,0,0,0,0
470,17,006,17,2021,F,0,1,0,0,0,0,0
471,4,002,17,2021,F,0,1,0,0,0,0,0
472,27,018,24,2021,M,0,0,0,1,0,0,0
473,20,003,24,2021,M,0,1,0,0,0,0,0
474,20,003,24,2021,M,0,1,0,0,0,0,0
475,6,006,24,2021,M,0,1,0,0,0,0,0
476,47,019,24,2021,M,0,1,0,0,0,0,0
477,16,007,24,2021,M,0,1,0,0,0,0,0
478,29,025,2,2021,F,0,1,0,0,0,0,0
479,20,002,24,2021,F,0,1,0,0,0,0,0
480,41,016,24,2021,F,0,0,0,1,0,0,0
481,36,016,17,2021,M,1,0,0,0,0,0,0
482,42,001,17,2021,F,0,0,0,1,0,0,0
