,ward,district,date_day,date_year,charge_1_type,race_BLACK,race_WHITE HISPANIC,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_UNKNOWN / REFUSED,race_AMER INDIAN / ALASKAN NATIVE
381,42,018,11,2021,F,1,0,0,0,0,0,0
382,28,015,11,2021,F,1,0,0,0,0,0,0
383,38,016,2,2014,F,1,0,0,0,0,0,0
384,37,015,12,2014,M,1,0,0,0,0,0,0
385,6,007,15,2022,M,1,0,0,0,0,0,0
386,4,001,11,2021,F,1,0,0,0,0,0,0
387,42,001,11,2021,F,1,0,0,0,0,0,0
388,17,007,11,2021,M,1,0,0,0,0,0,0
389,20,009,15,2022,F,0,1,0,0,0,0,0
390,16,009,15,2022,F,0,1,0,0,0,0,0
391,6,007,29,2022,F,1,0,0,0,0,0,0
392,6,007,29,2022,F,1,0,0,0,0,0,0
393,7,004,15,2022,F,1,0,0,0,0,0,0
394,23,008,15,2022,O,1,0,0,0,0,0,0
395,24,011,18,2021,F,1,0,0,0,0,0,0
396,44,019,15,2022,M,0,0,0,1,0,0,0
397,15,009,15,2022,M,0,1,0,0,0,0,0
398,37,011,15,2022,M,1,0,0,0,0,0,0
399,15,007,18,2021,M,1,0,0,0,0,0,0
400,17,008,18,2021,M,0,0,0,1,0,0,0
401,3,001,15,2022,M,1,0,0,0,0,0,0
402,2,018,30,2021,F,1,0,0,0,0,0,0
403,21,006,30,2021,F,1,0,0,0,0,0,0
404,27,011,30,2021,F,0,1,0,0,0,0,0
405,8,006,30,2021,M,1,0,0,0,0,0,0
406,37,025,15,2022,M,1,0,0,0,0,0,0
407,27,011,30,2021,F,1,0,0,0,0,0,0
408,27,011,15,2022,F,0,1,0,0,0,0,0
409,49,024,15,2022,M,1,0,0,0,0,0,0
410,20,003,15,2022,F,1,0,0,0,0,0,0
411,28,011,7,2014,F,1,0,0,0,0,0,0
412,16,007,12,2021,F,1,0,0,0,0,0,0
413,43,018,8,2014,F,0,0,0,1,0,0,0
414,16,007,12,2021,F,1,0,0,0,0,0,0
415,20,003,12,2021,F,1,0,0,0,0,0,0
416,16,009,14,2014,M,1,0,0,0,0,0,0
417,8,004,18,2021,M,0,1,0,0,0,0,0
418,26,014,9,2014,M,0,1,0,0,0,0,0
419,20,003,12,2021,F,1,0,0,0,0,0,0
420,8,005,30,2021,M,1,0,0,0,0,0,0
421,29,025,17,2014,M,1,0,0,0,0,0,0
422,29,025,16,2015,F,1,0,0,0,0,0,0
423,14,009,3,2014,M,0,1,0,0,0,0,0
424,4,002,18,2021,M,1,0,0,0,0,0,0
425,4,001,10,2021,O,1,0,0,0,0,0,0
426,36,025,13,2021,F,0,1,0,0,0,0,0
427,28,010,7,2014,M,1,0,0,0,0,0,0
428,24,010,13,2021,F,1,0,0,0,0,0,0
429,12,010,13,2021,F,0,1,0,0,0,0,0
430,16,007,13,2021,M,0,1,0,0,0,0,0
431,8,006,18,2021,O,1,0,0,0,0,0,0
432,23,008,18,2021,M,0,1,0,0,0,0,0
433,7,003,29,2014,F,1,0,0,0,0,0,0
434,7,003,1,2017,F,1,0,0,0,0,0,0
435,7,003,5,2018,M,1,0,0,0,0,0,0
